Temperature,Humidity,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Hours Since Previous Failure,true_label,predicted_label,is_misclassification,probabilities,Entropy Calculator,Trust Calculator on 19 Neighbors - Trust,Trust Calculator on 19 Neighbors - Detail,External Calculator (NaiveBayes),Combined Calculator (XGBoost),Multiple Combined Calculator (3 classifiers),Confidence Interval (0.9999%)
68,90,356,3,2,1067,1564,892,606,1225,1062,672,2004,1122,216,228,1277,395,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999504702967592,0.9989140997640789,0.9999802223279991,15
64,76,1863,3,1,517,1887,836,1667,498,841,1166,1726,698,442,1958,480,219,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9975122051978321,0.9965474756900221,0.9979719888591901,15
67,83,1215,2,0,777,332,160,1254,1756,1343,926,1380,374,1721,1434,1869,66,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9838319427004143,0.998980144620873,0.9940573916003871,18
66,88,1090,0,1,1505,310,897,414,1445,410,1576,1852,1729,201,483,1883,511,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998380659729057,0.9964832118712366,0.9998971769380184,16
68,77,1896,3,2,1573,1988,812,1422,317,535,1065,289,520,1481,781,762,319,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.8929146151637499,0.9759389534592628,0.9375170957932565,17
67,77,522,1,2,911,395,184,807,1232,877,1953,1460,1359,852,430,1068,88,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9743365732591668,0.9988739443942904,0.9850496428067652,17
63,79,941,0,2,1737,1624,1249,832,1201,1711,428,1078,1078,193,422,1603,129,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.998774391105053,0.99961491022259,0.9992510076070209,16
63,92,1955,1,0,169,1397,1860,1022,1002,1922,1062,895,566,1165,603,527,197,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998584944127733,0.9990566860069521,0.9999734451978611,17
60,80,897,1,1,1290,825,1629,1341,1091,497,506,1176,1231,333,878,237,15,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9993718752741038,0.9997759835096076,0.9998111234206367,16
65,85,727,2,1,537,553,422,273,814,1986,1577,683,1082,1622,496,1679,315,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9981674507573886,0.9992136882501654,0.999476428162566,16
64,80,1157,2,2,467,1162,725,2011,1123,188,1390,278,1360,1575,185,1442,123,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.997749281167098,0.999433352611959,0.9983740888818874,16
60,82,1238,2,1,171,1595,1153,1465,1603,662,675,245,932,1420,1472,741,110,normal,normal,0,[1. 0.],1.0,0.8947368421052632,"[('normal', 17), ('Yes', 2)]",0.9985206813671514,0.9996881218103226,0.9996870522511282,17
60,81,1946,2,1,1953,1685,1474,521,587,1255,1781,907,1676,1750,704,1371,331,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9995330278638924,0.9972511744126678,0.9998130675358105,17
64,86,1027,2,2,1595,1463,1043,979,1419,894,219,1017,1299,380,1100,779,124,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9997827861209185,0.9997603965748567,0.9999416959320845,15
65,83,1429,3,1,1400,1846,870,1826,948,1223,1675,1616,1298,745,933,744,125,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9994510438644356,0.9998082525708014,0.9997969972087718,17
64,81,1043,1,0,1636,1725,192,431,1846,1349,1164,689,865,635,178,1176,581,normal,normal,0,[0.9 0.1],0.5310044064107188,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9789976085753227,0.764561119322424,0.760758005515951,17
68,80,1959,3,1,1020,629,2007,1188,1812,1018,493,193,168,1675,938,1116,459,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.8551053709116376,0.8031917661428452,0.9029037629443476,16
62,78,1822,1,0,1716,581,1583,1898,237,966,1169,942,1014,1584,1156,1395,365,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9930301985978663,0.9954367149621248,0.9969516005127446,17
64,83,1843,1,2,933,1735,1485,981,1422,651,648,1225,537,1666,840,1917,42,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9983651687811772,0.9962941971607506,0.9992998078252655,17
60,77,389,3,1,447,1774,1709,982,1984,1020,947,1810,747,1577,325,407,489,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9991030275652822,0.9971444322727621,0.9997651041541747,17
64,77,1677,2,2,547,1063,737,1598,636,1670,1369,1476,1166,509,1155,213,193,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9995403560402166,0.999737693258794,0.9995667279471306,15
63,85,338,2,0,1106,1371,1666,799,1231,1761,1265,1795,201,1393,908,1036,267,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998349455545004,0.998943550279364,0.9999204122134145,18
61,78,2002,1,2,1724,1105,1212,413,1316,586,766,635,622,861,1617,451,90,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9989757365039885,0.9988675634376705,0.998444809534417,17
63,77,1426,3,2,1685,1547,349,170,1272,1219,1126,1581,686,904,858,1145,401,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9993506256463709,0.9980557918315753,0.9990250395534473,17
64,79,1762,3,0,1096,1068,178,740,1777,675,1500,1952,1547,509,571,343,61,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999489877863662,0.9997391219658311,0.9988544004328178,15
67,79,218,3,2,1259,190,427,782,739,1928,418,1868,1760,1481,1442,1132,336,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9992666523599183,0.9996097047114745,0.9994064412802319,17
62,90,634,2,0,278,1785,176,1648,1203,232,1117,1446,360,1722,875,603,92,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998948990755717,0.9997587761026807,0.999980782490268,17
61,81,1675,1,1,601,1606,1832,1271,1780,698,1436,1827,369,1992,1879,1470,21,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9992207237597872,0.9984687003307045,0.9996920561930737,17
64,92,792,0,2,304,209,1175,1451,1253,1116,462,665,586,796,700,479,354,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9999126011424643,0.9996287763060536,0.999984103779345,16
65,81,848,1,0,1058,1876,1681,590,1085,1366,1281,612,922,956,1272,1210,26,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.939897008165418,0.9988744045840576,0.9811994146162136,16
66,84,1189,2,0,506,1878,1858,1587,1197,1877,806,214,1433,1752,1701,541,125,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9905149386911994,0.998952902504243,0.997336047981853,18
65,83,1268,2,0,1377,1441,840,1719,1404,1439,1736,1139,521,1636,230,358,316,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.998314397019016,0.9997008166101296,0.9993284697405834,18
68,79,1988,0,2,1703,898,1851,777,1321,1253,856,1189,601,763,1879,490,260,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9882303751892274,0.9975838102400303,0.9813462708388516,18
61,77,1718,0,0,1122,1491,783,1628,1383,1625,1575,429,1232,629,482,1629,148,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9918701638720192,0.9993235474685207,0.9959755124683659,18
60,85,1752,1,1,704,198,1939,842,825,981,1936,1777,460,1285,1387,744,221,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999095476642973,0.9989447082625702,0.999974098043205,16
63,83,258,3,2,846,1557,199,1931,1740,1437,1846,1934,189,1785,1054,1972,568,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999283356592527,0.9990068818442523,0.9999770954021302,18
65,84,333,2,0,707,1297,547,1204,1170,867,583,478,223,1631,964,1351,234,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9924152171364586,0.9996240559557918,0.9977338259983771,18
68,78,1229,1,0,677,1418,1842,1803,1820,1184,757,1571,751,1395,1971,1776,173,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9115267722635529,0.998440983472392,0.9337021522475718,18
64,85,910,3,1,1135,1441,258,928,572,502,1357,1364,1915,1840,1848,1983,130,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9997183041876322,0.9988899199524894,0.9998981432798342,16
61,92,1312,1,2,1868,1689,395,1528,529,175,1903,1634,320,836,1660,1867,39,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9999852049400308,0.9990550602669828,0.9999972292055821,18
64,77,259,0,0,616,407,372,1317,999,759,1589,1904,248,1286,631,2003,171,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9942386152212072,0.9996381960518192,0.9921472858796664,17
65,86,366,2,2,804,246,1402,341,1404,1651,756,194,1571,1420,586,722,192,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9996017585988545,0.9997322256967891,0.99981925082432,18
67,80,374,0,1,1526,1819,1386,1496,299,1943,1237,1020,1954,1288,1635,772,141,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9872386563910512,0.9994473102851771,0.9951156736249965,17
67,86,1876,0,0,485,1415,499,1713,612,1701,1928,1947,1321,459,1427,679,89,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9995128127671479,0.9987579326843843,0.9997783823901897,18
67,81,1429,2,1,447,875,1171,792,907,341,735,530,976,1374,1490,1509,158,normal,normal,0,[1. 0.],1.0,0.8947368421052632,"[('normal', 17), ('Yes', 2)]",0.9438305463170162,0.9994021637830883,0.9721783013599063,17
66,84,998,3,0,1085,1328,1687,526,703,179,1229,1787,1839,1997,1362,1106,192,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9993434997912523,0.9984831204637885,0.9991200329404242,16
66,84,1201,2,1,1472,877,1847,1296,678,388,1540,1939,220,911,1146,203,343,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9996107407246447,0.9984289675485343,0.9995835377163319,16
68,88,836,2,2,335,1714,1367,1566,329,713,397,377,612,462,1194,256,467,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9965776847635255,0.9972074597608298,0.9993120647139642,18
68,92,382,0,1,622,994,1250,1447,1783,822,798,583,1577,1852,665,934,274,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9975504707449384,0.9984739759238437,0.9995319606647394,17
60,84,1341,0,0,942,214,246,751,381,388,1879,182,1631,1988,1054,1675,66,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9979758758476026,0.9975556905847043,0.9995371402661029,18
68,88,680,2,2,357,544,597,250,1389,1713,739,331,1364,646,504,506,315,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9992565295377634,0.9989127905573696,0.9997395702287344,18
65,81,778,2,1,1914,1726,1565,697,254,918,993,1425,1434,660,575,1795,72,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.994789963671583,0.999522611440625,0.9972881482371169,17
63,84,683,0,1,907,242,770,1333,1047,1444,1533,1281,1385,1047,1476,513,391,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9996089333347844,0.9993671458796598,0.9999132498248638,16
64,90,472,1,1,679,527,472,1689,316,724,1885,206,1341,1726,574,484,25,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9990016843007832,0.9991243419935927,0.9998181063296249,16
60,87,246,1,2,904,781,1032,567,1172,825,1794,1620,229,1305,904,758,283,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999897236699901,0.999709353025537,0.9999971375994089,18
61,81,392,2,1,606,1695,323,1244,750,1480,317,1367,974,634,276,369,367,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9997210215164997,0.9997256810311228,0.9999460227295559,17
66,79,1136,3,2,1735,654,1653,1377,1724,1635,1212,1581,786,174,1967,457,84,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9990191243310328,0.9991155450115912,0.9975986202093,17
62,83,993,3,2,959,164,650,1091,1057,905,813,1776,1941,1500,856,1182,76,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999767687472138,0.9998576818034053,0.9999877236900664,16
66,87,1318,2,0,729,1859,1921,538,757,767,929,457,468,1046,1117,1575,138,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9836941058099027,0.9980394768062979,0.9949925146693671,17
60,86,539,1,0,700,565,280,453,1306,1765,351,1547,1200,794,1209,1878,163,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999405976460128,0.9998228657641448,0.9999869447067775,18
64,88,1836,0,2,1497,1212,568,1294,1427,1977,1825,696,919,431,1380,961,180,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998590123543073,0.9971325537189841,0.999964641348342,17
62,80,1233,0,2,1717,364,1549,330,1395,428,667,1593,535,424,416,500,132,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998366709778708,0.9994437925633974,0.9995902250568963,18
68,93,1049,2,1,718,827,1082,418,583,861,1440,1935,1188,284,1585,1893,151,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998325831116508,0.9989765186328441,0.9999474071424288,16
66,75,394,2,2,1473,973,1999,1143,651,1758,555,1261,183,1511,765,1731,111,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9628492972665752,0.9958142060786486,0.9623284682984976,18
62,87,991,2,1,1803,893,1516,1275,419,1439,1206,1098,736,1605,318,397,103,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998480071568723,0.9994218880310655,0.9999678573928371,16
67,85,1988,0,1,197,856,1191,1283,1023,766,851,1183,1254,1173,551,230,65,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9973373837516207,0.999511516012717,0.999122116926768,17
61,84,1365,3,1,760,717,874,1202,1191,973,195,681,1085,1913,1983,236,99,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9997173204805043,0.9996808357827831,0.9999396299040262,16
67,83,867,0,0,913,1222,766,202,1628,1629,1646,530,546,1599,358,965,311,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9761304241672456,0.9931126851588488,0.9880019416741618,18
60,83,1369,1,1,1915,352,956,1403,450,818,1371,627,443,303,1575,1644,187,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9994814732006502,0.9983264920301735,0.9997991642662107,17
64,85,694,0,2,1540,636,1183,1899,410,1699,1761,1851,1600,1703,1933,1420,234,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999745783933133,0.9987432381603867,0.9999841919490882,17
63,78,356,3,0,776,1768,641,345,1599,645,214,1377,441,367,1823,1982,118,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9933700081884016,0.9994710549362935,0.991987963244705,18
64,83,1650,1,2,1794,1487,346,1567,309,347,1245,810,563,2007,1952,1882,200,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9989226634118192,0.998668258311227,0.9995747419121029,17
60,82,1083,2,0,1639,1579,940,1518,987,1995,233,1712,1276,1684,1980,1267,247,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999096995404351,0.999690797238145,0.9999791018183218,17
67,81,1914,0,1,717,650,917,1571,1026,410,1049,1598,1385,710,713,1009,190,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9961439806529845,0.9991049988893792,0.9970793711523677,16
63,83,1766,3,1,1874,835,430,1793,322,1502,1059,1649,1745,1832,300,824,9,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999231634739856,0.9996573623211589,0.9999718105342517,16
66,79,1030,1,1,1718,528,836,1784,1479,1573,943,178,1595,1707,590,704,311,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9886391791617255,0.9992163686547428,0.9934786279909037,17
65,83,1900,2,0,1808,445,954,726,329,303,764,931,1272,852,546,1660,101,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9933220697196627,0.9980579854454845,0.994807248041317,18
65,76,1831,1,0,1214,1907,757,961,317,885,1418,665,751,549,633,1261,299,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.8572932418498388,0.9407918266952038,0.931575608880891,18
63,75,626,0,2,466,981,1034,1138,1071,1737,1073,328,726,211,1571,1584,120,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9870179219119498,0.9929167544469237,0.9888072564413589,14
68,76,981,0,0,1337,1495,1134,1053,1488,541,508,1661,1366,560,1529,238,143,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.938263052605168,0.9979976883623749,0.9393204854395094,18
63,81,769,3,1,726,318,919,1091,1583,716,1615,1319,720,1981,1698,1497,50,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9964332243721439,0.9981943381717429,0.9986936943717106,16
61,85,1596,3,1,858,885,1162,1751,1967,704,745,929,1433,825,1026,1717,163,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998334205841549,0.9997955273720436,0.9999447338325248,17
65,78,249,3,1,591,1233,503,484,975,380,782,1757,1635,1031,1975,1916,170,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9979672901052731,0.9995644014561549,0.9966623497273197,17
64,83,1905,3,1,414,1912,1429,1971,1857,359,1115,1803,1747,1567,1466,1961,186,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998363894960585,0.9980087103322148,0.9998414490566537,15
66,76,1062,0,1,868,1274,718,989,242,334,1816,618,304,843,1226,926,105,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.7092944774949063,0.9949190425686538,0.8745247755319885,16
60,83,542,2,0,654,1889,1066,207,858,463,1463,838,766,172,698,1688,248,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9993274539946497,0.997312999330461,0.9996545264428285,17
64,89,447,2,1,1639,644,1340,194,1082,1590,2005,869,792,1227,529,951,335,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9995886172155637,0.9935632180422544,0.9999019595657664,15
63,81,372,3,2,686,1129,1093,650,1438,1117,618,268,996,383,1088,1824,455,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9987215672218943,0.9990338840289041,0.9990707245195359,15
64,87,549,0,1,1679,935,349,1805,1908,1175,699,1210,1615,1761,912,412,47,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999801763186686,0.9997907078504795,0.9999573073396761,16
63,92,1256,2,0,505,330,1781,459,902,1523,794,220,1024,1486,860,278,206,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999785750806141,0.9994630176806822,0.9999568399907814,17
63,87,1130,1,2,1128,261,1166,699,445,1630,157,998,1190,579,747,1191,178,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998442689936602,0.999662546440959,0.9999670191398335,17
66,84,1589,1,2,1964,944,746,273,551,666,1709,1468,766,1024,619,1431,187,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9992950170401382,0.9994641637895256,0.999274260884668,18
61,85,1433,3,0,1004,1042,476,691,1051,277,752,967,1177,1611,294,1135,505,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9995129665840328,0.999586900928989,0.9998940700072229,15
66,89,1066,2,0,1357,1890,340,1659,1571,543,1394,538,1542,170,1739,1949,326,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9984586858781143,0.9946998558007181,0.9995964815932875,17
63,82,2004,0,2,717,1354,1365,670,1634,1379,1608,1214,1239,1903,894,780,81,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9995236445998471,0.9994926282670349,0.9997956184249893,18
65,82,812,1,0,841,1376,1126,715,1796,682,2002,1453,596,1203,800,1396,200,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9892022583961271,0.9995918343192898,0.9950043278647499,18
66,78,197,1,0,1307,1579,1484,1275,868,855,623,577,1053,832,663,385,216,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9371876834173302,0.9996765211399179,0.9713405740507092,17
60,88,991,1,0,565,428,1349,306,439,269,1566,910,876,1571,759,1105,5,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9993587386663773,0.9882692284882069,0.9998752675246485,17
66,75,230,3,1,930,1861,1283,723,1045,786,330,976,1997,485,1383,729,157,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9629689124830999,0.998143233009614,0.9729023012313694,16
68,77,667,1,0,466,1438,1059,337,1513,1478,717,1811,789,779,576,1033,323,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9609048520223769,0.9992244060849771,0.9592350105538872,17
62,79,1923,1,1,1915,1183,1703,1555,1348,1267,816,456,1594,1814,1832,262,65,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9983062316676773,0.9986997997621074,0.9991020641826545,17
66,77,1280,3,1,1000,1868,179,502,386,198,844,765,668,1741,1431,1955,56,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.822417567967173,0.996833362383768,0.9252223727191214,17
63,88,1768,0,0,200,252,1272,1819,1957,615,197,282,1580,1800,1054,1489,125,normal,normal,0,[0.9 0.1],0.5310044064107188,1.0,"[('normal', 19)]",0.9989213596397452,0.7623556339607958,0.7652686963484857,18
68,78,1405,2,1,1390,1397,1176,328,1901,1275,505,885,679,1155,1217,1263,592,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.6787531783482361,0.9958969890139997,0.9022156457577949,17
67,88,1048,1,1,860,955,645,1421,1184,939,1393,1602,1920,403,1722,357,290,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998938839769616,0.9995866637327708,0.9999563835504679,17
68,79,1253,2,2,564,1006,1581,1130,713,1140,688,1746,961,1338,838,1174,435,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9904889620441202,0.9994479531887919,0.9948945017543798,17
68,82,397,0,0,1376,155,237,1073,1613,1755,175,840,458,1771,1607,406,127,normal,normal,0,[0.9 0.1],0.5310044064107188,1.0,"[('normal', 19)]",0.9416383682141521,0.7640435653233353,0.749208958074948,17
61,88,230,1,1,402,1130,1107,1905,1888,1269,1107,454,1978,380,1327,1757,29,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999317751456298,0.9995225277962163,0.9999846426987844,15
62,79,489,2,0,626,1559,887,263,541,703,1860,275,537,405,381,432,72,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9905426826796877,0.9984541137237102,0.9934209800791972,18
60,80,452,3,2,1692,1837,744,1252,1394,1504,1415,1433,524,691,847,215,508,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999188517069,0.9994025307241827,0.999979539378583,18
64,85,1898,2,0,1025,1818,636,1534,861,298,1409,992,723,824,1929,1002,39,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.996619215521479,0.9899127185344696,0.9991492419418343,16
66,80,1765,0,0,1834,1912,1328,1399,875,1995,1891,1273,1152,692,2011,2004,495,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9772697585295073,0.9957646708935499,0.9911075687806209,18
62,77,1273,2,1,750,1973,595,603,505,953,703,1492,1910,1016,1087,1770,215,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9982245801244416,0.9996344315586612,0.9992011996367127,15
60,81,263,2,2,1518,374,1317,1388,1231,616,1653,1249,1294,1515,329,798,243,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9998840886901096,0.9997445571934804,0.9999590852803585,18
67,84,705,1,0,980,1777,994,1338,1019,1985,965,879,1078,1992,409,170,361,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9946992365157358,0.9994442572351545,0.9985044154135104,17
66,84,1878,0,2,1913,1113,1906,1669,1014,445,577,696,1241,764,932,1367,400,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9978719110610292,0.9977109106257558,0.998978756739001,17
60,92,837,1,1,2007,1861,1693,227,1771,1022,954,1402,797,1298,646,1596,278,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999724333522372,0.999138327257242,0.9999949356455855,17
63,87,352,3,2,1353,1283,1655,957,1616,1690,598,1448,954,966,1758,1680,252,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999531881713959,0.9976392379030585,0.9999856096268246,18
64,77,1469,2,1,457,1860,1609,951,311,1678,1190,1424,1809,390,494,1884,235,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9960840828871077,0.9977169551420957,0.9966538804937436,16
64,75,250,3,2,631,965,1250,1316,940,605,1506,1802,1525,1584,1034,1974,302,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.998460119956071,0.9985974078299478,0.996553830933466,17
66,76,1220,0,1,430,1121,1535,582,1409,1443,1564,1357,1527,314,1724,1069,208,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9764473147206523,0.996106046019122,0.9723804199748627,15
65,83,1015,2,0,1055,396,589,694,190,204,928,1702,615,1429,1401,1216,125,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9966930441971626,0.9992776585859247,0.9986148514923462,17
63,79,632,1,2,1037,543,181,1042,1580,1182,1364,193,1543,905,2009,1524,112,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9965226095443299,0.9962132857181132,0.998260967846885,17
60,82,1236,2,2,1230,662,597,215,169,745,974,458,1101,198,1909,303,137,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9999115162185283,0.9994620845536701,0.999945137474293,17
65,81,1929,3,1,1176,197,1462,1903,1753,462,819,1517,1804,1753,613,599,288,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.999557510531302,0.997804478276521,0.9994672423326199,17
62,79,1533,1,0,1153,1133,786,1782,1117,811,597,994,852,226,1736,1599,179,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9974166971272852,0.999624045449309,0.9983273897672541,17
61,90,640,2,2,1705,354,751,1734,1856,1256,1200,644,155,199,1914,1377,177,normal,normal,0,[1. 0.],1.0,0.9473684210526315,"[('normal', 18), ('Yes', 1)]",0.9999842133260964,0.9988367360783741,0.9999958574578877,18
61,81,832,1,2,558,964,1604,1282,1017,1566,1234,1459,1200,1485,1871,1769,488,normal,normal,0,[1. 0.],1.0,1.0,"[('normal', 19)]",0.9997815057792897,0.9993671249249019,0.999942151931085,18
